student_id,name,gender,class,date_of_birth
S2000,Grace Ade,Female,JSS2,2005-03-24
S2001,David Eze,Male,SS2,2007-01-01
S2002,Fatima Ola,Male,SS2,2008-01-18
S2003,Mary Balogun,Female,JSS2,2007-10-09
S2004,Ayo Okonkwo,Female,JSS3,2006-03-07
S2005,Michael Ibrahim,Male,SS1,2004-06-28
S2006,Susan Ali,Female,JSS1,2009-08-18
S2007,Grace Smith,Male,SS2,2006-11-20
S2008,Olive Ali,Male,SS3,2004-01-22
S2009,Lola Bello,Male,JSS2,2004-07-09
S2010,Nathan Eze,Female,JSS2,2006-06-07
S2011,Samuel Balogun,Male,SS2,2009-03-18
S2012,Babatunde Okonkwo,Female,SS1,2006-11-23
S2013,Adewale Ola,Female,JSS1,2005-01-26
S2014,Rita Smith,Female,JSS1,2005-10-23
S2015,Rita Ola,Female,SS1,2009-08-05
S2016,Ngozi Okonkwo,Male,SS3,2008-09-09
S2017,Victor Smith,Female,JSS3,2005-03-17
S2018,Emmanuel Ibrahim,Male,JSS1,2005-11-06
S2019,Tari Ali,Male,SS1,2007-10-15
S2020,Favour Bello,Male,SS3,2009-02-22
S2021,Chukwu Bello,Female,JSS1,2006-07-06
S2022,Nathan Ade,Female,SS2,2005-09-04
S2023,Ibrahim Eze,Male,JSS2,2006-03-18
S2024,Favour Ade,Female,SS1,2004-02-12
S2025,Ibrahim Ola,Male,JSS2,2008-02-03
S2026,Emmanuel Ibrahim,Male,JSS2,2009-08-18
S2027,Sandra Bello,Female,JSS2,2008-12-23
S2028,Mary Balogun,Female,SS1,2009-11-12
S2029,Blessing Adams,Female,JSS1,2005-04-03
S2030,Michael Ade,Male,SS2,2005-01-03
S2031,Kemi Ola,Male,JSS1,2006-02-17
S2032,Babatunde Bello,Female,JSS2,2008-03-24
S2033,Zainab Ali,Female,JSS2,2007-07-07
S2034,David Ibrahim,Female,JSS3,2007-07-15
S2035,Kemi Eze,Male,JSS1,2007-12-11
S2036,David Ola,Male,JSS2,2008-08-05
S2037,Tari Okonkwo,Female,SS1,2005-02-15
S2038,Adewale Ibrahim,Male,SS3,2008-01-03
S2039,Babatunde Okonkwo,Female,SS1,2007-04-28
S2040,Amina Ade,Male,SS1,2004-07-09
S2041,Nathan Bello,Female,SS3,2009-09-22
S2042,Emmanuel Okonkwo,Male,JSS3,2005-01-19
S2043,Chukwu Ade,Female,JSS1,2004-10-16
S2044,Hadiza Adams,Male,JSS1,2008-02-28
S2045,Paul Ibrahim,Male,SS3,2005-07-04
S2046,Zainab Ola,Male,SS2,2004-07-22
S2047,Victor Ali,Female,JSS3,2005-11-23
S2048,Rita Ola,Female,SS1,2005-11-21
S2049,Ibrahim Johnson,Female,JSS1,2004-08-20
S2050,Zainab Ibrahim,Male,SS2,2005-09-09
S2051,Ife Ogundipe,Male,JSS2,2006-05-06
S2052,Blessing Adams,Female,SS2,2009-09-01
S2053,Adewale Bello,Male,JSS2,2006-02-04
S2054,Adewale Okonkwo,Female,JSS3,2008-04-23
S2055,Michael Ola,Female,SS2,2007-05-28
S2056,Kemi Ibrahim,Female,JSS3,2004-01-11
S2057,Ife Eze,Female,JSS2,2009-08-18
S2058,Tari Adams,Male,JSS1,2004-12-05
S2059,Chukwu Ade,Female,SS2,2008-03-14
S2060,Ife Ade,Female,JSS3,2004-06-07
S2061,Babatunde Eze,Male,JSS3,2008-07-20
S2062,Rasheed Ola,Male,JSS2,2007-01-06
S2063,Michael Smith,Male,JSS3,2005-12-04
S2064,Peter Ade,Female,JSS2,2005-08-12
S2065,Ibrahim Ola,Male,JSS1,2009-04-13
S2066,Michael Bello,Male,JSS3,2006-11-17
S2067,Amina Eze,Female,JSS1,2004-05-06
S2068,Victor Bello,Male,JSS1,2008-07-12
S2069,Rita Smith,Male,SS1,2008-04-09
S2070,Chi Balogun,Female,JSS1,2008-09-22
S2071,Mary Ogundipe,Female,JSS1,2009-06-20
S2072,Rita Eze,Male,SS3,2006-09-10
S2073,Olu Ogundipe,Female,SS3,2006-09-05
S2074,Mary Smith,Female,SS3,2009-03-20
S2075,Zainab Bello,Female,SS2,2004-05-10
S2076,John Smith,Female,SS1,2007-08-22
S2077,John Adams,Female,SS3,2005-11-03
S2078,Esther Adams,Female,JSS1,2005-11-10
S2079,Lola Ola,Male,JSS1,2004-04-16
S2080,Emeka Johnson,Female,SS3,2008-04-23
S2081,Peter Johnson,Female,JSS2,2005-11-23
S2082,Ayo Ibrahim,Female,JSS2,2005-12-17
S2083,Nathan Ade,Male,JSS1,2007-03-26
S2084,Nathan Eze,Female,SS1,2008-12-17
S2085,Tari Adams,Female,JSS2,2009-08-15
S2086,Ngozi Ola,Female,SS2,2007-11-08
S2087,Samuel Johnson,Male,SS3,2006-04-09
S2088,Michael Ogundipe,Male,JSS2,2005-04-13
S2089,Rasheed Balogun,Male,JSS1,2007-07-11
